Id	AdmLevel	Country	AdmDiv1	AdmDiv2	GadmId	Latitude	Longitude	GadmName
BD__Chittagong	1	BD	Chittagong	-	BGD.2_1	22.7237398170767	91.7479507203736	Chittagong
CD__Kinshasa 	1	CD	Kinshasa 	-	COD.10_1	-4.43671015741757	15.9042405034987	Kinshasa
IN__Odisha 	1	IN	Odisha 	-	IND.26_1	20.5052985791504	84.4146549836984	Odisha
IN__Tripura 	1	IN	Tripura 	-	IND.33_1	23.7445015653093	91.7417651081812	Tripura
IN__West Bengal	1	IN	West Bengal	-	IND.36_1	23.9060473775994	87.9472271437309	West Bengal
KH__Battambang 	1	KH	Battambang 	-	KHM.2_1	12.9791830252249	103.101657473746	Batd<U+00E2>mb<U+00E2>ng
KH__Pailin	1	KH	Pailin	-	KHM.12_1	12.8783908155906	102.633335746457	Krong Pailin
KH__Preah Vihear	1	KH	Preah Vihear	-	KHM.18_1	13.7979600624025	105.007948725575	Preah Vih<U+00E9>ar
KH__Pursat	1	KH	Pursat	-	KHM.17_1	12.3651936869371	103.636298375164	Pouthisat
KH__Ratanakiri	1	KH	Ratanakiri	-	KHM.20_1	13.7929137287559	107.087045986625	R<U+00F4>t<U+00E2>n<U+00F4>kiri
KH__Steung Treng	1	KH	Steung Treng	-	KHM.22_1	13.8033941802064	106.176849721317	St<U+0153>ng Tr<U+00EA>ng
LA__Attapeu	1	LA	Attapeu	-	LAO.1_1	14.7938545348946	106.945075741272	Attapu
LA__Champasak	1	LA	Champasak	-	LAO.4_1	14.7716860434461	105.960564022771	Champasak
LA__Salavan	1	LA	Salavan	-	LAO.11_1	15.8483944070198	106.273701961224	Saravan
LA__Savannakhet	1	LA	Savannakhet	-	LAO.12_1	16.553723207531	105.705702420335	Savannakh<U+00E9>t
LA__Sekong	1	LA	Sekong	-	LAO.17_1	15.5820192265789	107.039114407233	X<U+00E9>kong
MM__Bago	1	MM	Bago	-	MMR.2_1	18.3002609142251	96.1297238284375	Bago
MM__Kayin	1	MM	Kayin	-	MMR.6_1	17.1413138508479	97.7973441003251	Kayin
